smiles,value
*C1C2CCC(C2)C1*,4.175989052
*C(=O)c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(*)s4)cc3)cc2)cc1,2.204506441
*OC1CCC(C2CCC(OC(=O)CCCCCCCCCC(*)=O)CC2)CC1,3.888851294
*C=C(*)c1ccc(C#C)cc1,1.031661883
*CC(=O)OC(=O)c1cccc(O*)c1,2.549130997
*c1cc(N=Nc2ccc(C(=O)O)cc2)cc(*)c1O,1.087500694
*CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2*,1.559716718
*Oc1cccc(NC(=O)c2ccc(*(c3ccccc3)(c3ccccc3)c3ccc(C(*)=O)cc3)cc2)c1,2.400991855
*CCCC(=O)N*,3.622624131
*c1cc(CC(=O)OCCCCCCOc2ccc(N=Nc3ccc(C#N)cc3)cc2)c(*)s1,2.106108131
*CC(S1)=CC=C1C(S2)=CC=C2C(=S)*,1.110058756
*Nc1ccc(-c2ccc(NC(=O)Cc3cc(CC(*)=O)c(C)cc3C)cc2)cc1,3.729787332
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4*3)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,1.139735105
C(F)(F)CC(F)(F)C(C=C1)=CC=C1,2.359414529
*C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2*,2.137313142
*C=Cc1sc(*)c2c1OC(CCCCCC)CO2,1.676733334
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.000495623
C(F)(F)C(C=C1)=CC=C1C(F)(F)O,2.52353108
*c1sc(*)c(C)c1C,2.962361592
*CCCCCCCCCCOC(=O)CC=CCC(=O)O*,3.800322424
CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3),3.473679968
*c1ccc(C(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.518477233
*NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)*,1.86029841
*OP(=O)(Oc1ccc(-c2ccc(*)cc2)cc1)c1ccccc1,2.900385461
*Oc1cc(C(=O)c2ccccc2)c(Oc2ccc(*)cc2)cc1C(=O)c1ccccc1,2.233235698
*CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2*,1.935670204
*C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc(*)cc5C4=O)c2)C3=O)n1,0.962946683
*c1sc(*)c2nc(C)c(C)nc12,1.922155945
*CNCC(=O)*,2.29600918
*c1sc(*)c2c1OCCO2,2.437104549
*OC1CCC(C2CCC(OC(=O)CCCCCCCCCCCC(*)=O)CC2)CC1,3.889824913
*CCCCCCOC(=O)NCCCNC(=O)O*,3.973422645
*CNCC(C=C1)=CC=C1*,2.949802498
*NC(=O)C(=S)C(C=C1)=CC=C1*,0.593958397
*C=C(C)CC(C#N)CC*,3.646407259
*Oc1ccc(OC(=O)Oc2ccc(C(*)=O)cc2)cc1,1.954227496
*CCCCOC(=O)NC1CC1NC(=O)O*,3.94367739
*Cc1ccc(-c2ccc(CSC(=O)C(=O)S*)cc2)cc1,1.970186858
*OC(C)C(*)=O,2.948255212
*c1cc(CCCCCCCC)c(*)s1,2.327569977
*c1ccc(-n2ccc(-c3ccc(-c4ccn(*)n4)cc3)n2)cc1,2.350934915
*Nc1cc(*)ccc1N,3.806428334
*C1CCC(C=*)C1,3.85561255
*Oc1c(C)cc(*)cc1C,3.512820771
*CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)*,1.345476471
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)o1,1.62856383
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)cn1,1.608017858
*C=Cc1cccc(C=Cc2cc(*)ncn2)c1,1.522312205
*C(C#N)=C(c1ccccc1)c1ccc(*)cc1,2.538652987
*CC(C#N)(C#N)CC(C#N)(C#N)CC(C#N)(C#N)C(C#N)C(C#N)(C#N)*,2.231511008
*c1ccc(N(c2ccc(CCCC)cc2)c2ccc(-c3ccc(*)s3)cc2)cc1,2.568090197
*C(C)=C(*)C#N,1.2346613
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C(F)(Cl)C1(F)F,3.202310163
*CC(=O)OC(=S)*,1.017495247
*CC(OC)C1(C)C(=O)OC(=O)C1(*)C,2.986341725
*CCSSCCO*,3.628896459
*c1ccc2c(c1)c1cc(*)ccc1n2CC(=O)OCC,2.997993342
*CC(*)OC(=O)c1cccc(Br)c1,2.866851933
*N=C1C=CC(*)C=C1Cl,2.364207934
*NC(S1)=CC=C1C(S2)=CC=C2C(=O)*,1.566488488
*CC(S1)=CC=C1OC(=S)*,1.948123773
*CC(*)OC(=O)c1cccnc1,2.96132315
*OC1C(COCO)OC(*)C(O)C1O,4.008295956
*C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc(*)s4)s3)s2)s1,1.092774693
*C(F)(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)F,3.715316414
*OC(C)COC(=O)C=C(CC(*)=O)c1cc(C)ccc1OC,2.904681297
*CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*,1.763845677
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3c(Cl)c(Cl)c(C(*)=O)c(Cl)c3Cl)cc2)cc1,2.974792523
*NC(CCCCNC(*)=O)C(=O)OC,4.10578395
*C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O*,1.038219645
*c1cccc(*)c1N,3.146275365
*C=C(*)C#N,-1.233998281
*CC(*)n1ccc2ccccc21,3.90226364
*SC(*)=S,0.560102226
*CC(CC(*)(C#N)C#N)c1ccc(CCl)cc1,3.154495848
*CC(OC(C)=O)C(COC(=O)O*)OC(C)=O,3.942041557
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.920501628
*CCN(*)C(=O)c1c(F)cc(F)cc1F,3.407686763
*C(S1)=CC=C1C(=S)C(S2)=CC=C2O*,1.027835743
*c1cc(CCS(=O)(=O)O)c(*)s1,1.419800025
*c1nc(Oc2ccccc2)nc(N(*)c2ccccc2)n1,3.349666148
*Nc1ccc(Nc2ccc(*)cc2)cc1C(=O)O,2.297640611
*CCCCCCCCCNC(=O)CCCCCCCC(=O)N*,3.865227384
*c1nc(-c2ccccc2)nc(N(*)CC)n1,2.527203486
*CCOC(=O)Nc1ccc(-c2ccc(NC(=O)O*)c(C)c2)cc1C,2.951269583
*CCCCCNC(=O)N*,3.760452246
*c1cc(SC)c(*)s1,1.628949042
*C(*)(C#N)C#N,-0.172700794
*CC(=O)C(C=C1)=CC=C1C(=O)*,1.329887594
*CC(*)N1CCCC1=S,3.745740705
*CC1CC(*)C(=O)OC1=O,2.774226126
*C=CC(=O)C(C)=Cc1ccc(Sc2ccc(*)o2)o1,1.571136954
*NNC(=O)c1ccc(C(=O)NNC(=O)CCCCC(*)=O)cc1,3.01771052
*C(=O)OCCCCCCOC(=O)N1CCN(*)CC1,4.235482133
*C=Cc1ccc(*)cc1,2.280361454
*Sc1ccc(*)cc1,2.832038396
*CNC(=S)N*,3.968940166
*NC(CCCCN)C(*)=O,3.119693401
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC(C)CC(C)(C)C2)cc1,3.93154518
*c1cc(C(=O)OCCCCCC)c(*)s1,2.14863326
*SC(*)(F)F,2.328388624
*CC(CC)(CC)CS*,4.303839122
C(F)(F)C(=O)C(F)(F)O,1.385402104
*c1cncc(-c2nc3ccc(-c4ccc5nc(*)sc5c4)cc3s2)c1,1.664586738
*CCCCCCCCCCNC(=O)CCC=CCCC(=O)N*,4.213719056
*NC(CCC(*)=O)C(=O)OCc1ccccc1,3.307395109
*c1cc(CCCCCCCCCCBr)c(*)s1,2.35714427
*Oc1cccc(C(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)c2cccc(*)c2)c1,2.595176317
*c1ccc(-c2nc3cc4nc(-c5ccccc5)c(*)nc4cc3nc2-c2ccccc2)cc1,1.110427553
*OC(c1cccc(*(=O)*)c1)C(C)(C)C(*)=O,1.423136119
*OC(F)(F)C(F)(F)C(*)(F)F,3.929099729
*CCC(F)(F)C(*)(F)Cl,3.866704043
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,0.680808453
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C(Cl)Cl)cc1,3.057282789
*CC(O)COc1ccc(O*)cc1,3.751789887
*c1cc(CCCCCCCCCC2COC(C)(C)O2)c(*)s1,2.304848207
*CC(CCl)(CCl)COC(=O)C(=O)O*,3.244690297
*CC(*)SC,4.118807515
*CC(C)(N=C=O)C1C(=O)OC(=O)C1*,3.511993389
*C(=O)OCCCCOC(=O)N1CCN(*)CC1,3.572531861
*C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O*,2.856654417
*c1cccc(-c2nc3cc4nc(*)*c4cc3*2)c1,2.541958878
*c1ccc(-c2csc(-c3cc(*)cs3)c2)cc1,2.510585909
*CNCC(=S)*,1.414479874
*NC(=S)C(S1)=CC=C1O*,1.264909611
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.15298421
*c1ccc(-c2nnc(-c3cccc(-c4nnc(*)o4)c3)o2)cc1,2.000282753
*C1C=C(CCCCCC)C(*)S1,3.713434783
*CC(*)Cl,3.968815669
*CCCCOC(=O)c1ccc(-c2ccc(-c3ccc(C(=O)O*)cc3)cc2)cc1,3.23445734
*NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2*,1.796196586
*CC1CCC(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)CC1,3.784980581
C(C=C1)=CC=C1OC(=O)CC(=O)CCO,2.645333394
*C=C(*)c1cccs1,3.06754414
*CCOCO*,4.009441672
CNCCCOCO,4.006727946
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.060314712
*OC3=CC=CC(OC2=CC=C(C(C1=CC=C(*)C=C1)(C(F)(F)F)C(F)(F)F)C=C2)=C3C#N,2.741687439
*CC(*)C(=O)c1ccc(Br)cc1,1.92374774
*CC(*)(C)C(=O)Oc1ccccc1,3.970261242
*CCCN(*)C(C)=O,3.776396799
*c1sc(*)c2c1OCC(CCCCCC)O2,3.21775175
*CC1(*)CCCCC1,4.282312362
*c1cc(CCCCCCCCCCCC)c(*)s1,2.205505305
*c1ccc(S(*)(=O)=O)cc1,1.052577089
*c1sc(-c2cc(CCCCCCCCCC)c(*)s2)cc1CCCCCCCCCC,2.008233826
NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2,2.951833428
*c1ccc2c(*)c(-c3ccccc3)*c2c1,3.012532834
C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2,2.414953683
C(=O)NC(=O)CNC(=O)ON,3.653420843
*C(=O)OC(=S)O*,1.739852225
*c1ccc(-c2nc3cc(-c4ccc5oc(*)nc5c4)ccc3o2)cc1,1.740502533
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,2.043650118
*CCC(=O)C(S1)=CC=C1*,1.641232088
*CCCCCCNC(=O)CCC=CCCC(=O)N*,3.715272335
*Oc1ccc(S(=O)c2ccc(OC(*)=O)cc2)cc1,2.633468412
*NC(CO)C(*)=O,3.104003645
*CC(CF)O*,4.092370646
*C(=O)c1ccc2c(c1)C(=O)n1c-2nc2ccc(-c3ccc4c(c3)nc3n4C(=O)c4ccc(*)cc4-3)cc21,0.770544162
*C(*)F,2.90845836
*CCCCC(=O)OCCOC(=O)c1ccc(O*)cc1,4.303886909
*ON(C(F)(F)C(*)(F)F)C(F)(F)C(F)(F)Br,3.36811004
O(*)C(=O)OC(C=C1)=CC=C1CC(C)(C)C(C=C2)=CC=C2(*),3.821398486
*Oc1cc(OC)c(*)cc1OC,3.695404747
*c1cc(CCCCCCCCCC)c(*)s1,2.218328821
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.785217851
*c1ccc(*)s1,1.53864099
*CC(C=C1)=CC=C1C(C=C2)=CC=C2O*,3.040695717
*CCCN(*)C,3.820430163
C(F)(F)NC(F)(F)O,4.356437402
*C=CC(C*)OC,3.898258006
*N=Cc1ccc(-c2ccc(C=Nc3ccc4c(c3)c3cc(*)ccc3n4CC)s2)s1,1.629711666
*c1cc2sc(*)cc2s1,1.562019403
*c1ccc(*)n1CCC(=O)OCC,3.191542201
*C(=O)C=CC(=O)N1CC(C)N(*)CC1C,1.945533321
*ON(C(F)(F)F)C(F)(Br)C(*)(F)F,2.282513442
*C=CC1=C(O)C(O)=C(*)C1,1.443042045
*C(C=C1)=CC=C1C(=O)NC(=O)*,0.928401611
*c1ccc(*)c(CCCCCC)n1,3.016323298
*CC(*)(Br)Br,2.335650934
*Cc1c(C)c(C)c(CSC(=O)C(=O)S*)c(C)c1C,2.02704423
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1Cl,3.083068213
*NC(C=C1)=CC=C1OC(S2)=CC=C2*,3.393143976
